Tier,Name,Description
0,Lifestyle Magic,"It was a spell to warm up one bowl or plate of food. It used the same quantity of mana as a First Tier, so it was rarely used."
0,Create Lesser paper,It was a spell to create the kind of papers that are coarse and discolored.
0,Create Lesser water,It was a spell to create drinkable water that is not as sweet as its first-tier counterpart.
0,Lightweight Cargo,A spell that allows cargo weight to be much lighter than it actually is.
0,Preserve,A Spell that allows to preserve food items without the fear of rotting or decaying allowing food supplies to last for a long time.
0,Fragrance,A spell that is able to erase a user's body odor.
0,Continual Light,A spell that is capable of summoning a magic light. The brightness of the magic light could be roughly adjusted to the caster's whim.
0,Ghost Sound,Produces sounds that can confuse or mislead people.
0,Web Ladder,"Upon activation of this spell, a spider web spread up the wall. This magical spider web had a strange stickiness about it. If one didn�t want to move, it would stick in place, but if one wanted it to move, it would let go immediately. It was magic perfectly suited to use in place of a ladder."
1,Anti-Evil Protection,A 1st tier spell used to defend against attacks from evil beings.
1,Bunny Tail,A 1st tier spell used to decrease aggression towards the caster.
1,Camouflage,"In the Web Novel, a 1st tier spell that made it more difficult for someone to be detected. The spell allows the user to change their skin color to blend in with their environment."
1,Clean,"It is a 1st tier spell used by the Slane Theocracy's Cardinals to clean their clothes and their equipment. Through Widen Magic, the spell is even capable of making the entire room to be cleaned with ease."
1,Compass,A 1st-tier spell which was believed to be a single-target version of [Mass Compass].
1,Create Water,"A 1st tier lifestyle tradition spell which creates water. While zero-tier spells could also create drinkable water, the water created by this spell was described as being more sweeter upon tasting it. As a first-tier spell, the water generated by [Create Water] was not limited to just filling a single basin. While there was a time limit to it, the overall volume of water created that would increase in keeping with the caster�s skills. This could be parceled out over multiple occasions. Therefore, there would be no spillage and waste even if the user cast the spell on the basin."
1,Destruction Water,"It is a 1st tier spell that the caster used to make the water disappear immediately. This spell belonged to one of the four great systems which is also known as the elemental traditions. It could also be used for offensive purposes. It did less damage when used against living beings than other spells of the same tier. However, it could do significant damage to Water Elementals and other creatures closely aligned with the element of water. Higher-level versions of the third tier could also affect Slimes to some extent."
1,Floating Board,"A 1st tier spell that can create a floating, translucent board and it is used for carrying over objects. In a way, it serves to be a transportation method."
1,Lesser Mind Protection,Increase resistances to spells that invade or manipulate the mind of the target.
1,Light Healing,A 1st tier divine spell that heals allies of their wounds with a soothing warm green light.
